V4_1,Data Marking,calendar-years,Time,mmm,Month,administrative-geography,Geography,property-type,PropertyType,build-status,BuildStatus,house-sales-and-prices,HouseSalesAndPrices
172395.21092,,2020,2020,dec,December,E08000005,Rochdale,all,All,all,All,mean,Mean price
190246.06272,,2021,2021,dec,December,E08000005,Rochdale,all,All,all,All,mean,Mean price
132500.0,,2018,2018,dec,December,E08000005,Rochdale,all,All,all,All,median,Median price
129995.0,,2017,2017,dec,December,E08000005,Rochdale,all,All,all,All,median,Median price
140500.0,,2019,2019,dec,December,E08000005,Rochdale,all,All,all,All,median,Median price
165000.0,,2021,2021,dec,December,E08000005,Rochdale,all,All,all,All,median,Median price
147972.70148,,2017,2017,dec,December,E08000005,Rochdale,all,All,all,All,mean,Mean price
152104.79188,,2018,2018,dec,December,E08000005,Rochdale,all,All,all,All,mean,Mean price
160185.2453,,2019,2019,dec,December,E08000005,Rochdale,all,All,all,All,mean,Mean price
91000.0,,2017,2017,dec,December,E08000005,Rochdale,all,All,all,All,lower-quartile,Lower quartile price
93750.0,,2018,2018,dec,December,E08000005,Rochdale,all,All,all,All,lower-quartile,Lower quartile price
107997.5,,2020,2020,dec,December,E08000005,Rochdale,all,All,all,All,lower-quartile,Lower quartile price
100995.0,,2019,2019,dec,December,E08000005,Rochdale,all,All,all,All,lower-quartile,Lower quartile price
123000.0,,2021,2021,dec,December,E08000005,Rochdale,all,All,all,All,lower-quartile,Lower quartile price
80000.0,,2020,2020,dec,December,E08000005,Rochdale,all,All,all,All,tenth-percentile,Tenth percentile price
67500.0,,2017,2017,dec,December,E08000005,Rochdale,all,All,all,All,tenth-percentile,Tenth percentile price
74000.0,,2018,2018,dec,December,E08000005,Rochdale,all,All,all,All,tenth-percentile,Tenth percentile price
,.,2022,2022,dec,December,E08000005,Rochdale,all,All,all,All,sales,Count of sales
77500.0,,2019,2019,dec,December,E08000005,Rochdale,all,All,all,All,tenth-percentile,Tenth percentile price
95000.0,,2021,2021,dec,December,E08000005,Rochdale,all,All,all,All,tenth-percentile,Tenth percentile price
,.,2022,2022,dec,December,E08000005,Rochdale,all,All,all,All,lower-quartile,Lower quartile price
,.,2022,2022,dec,December,E08000005,Rochdale,all,All,all,All,median,Median price
,.,2022,2022,dec,December,E08000005,Rochdale,all,All,all,All,mean,Mean price
,.,2022,2022,dec,December,E08000005,Rochdale,all,All,all,All,tenth-percentile,Tenth percentile price
2789.0,,2018,2018,dec,December,E08000004,Oldham,all,All,all,All,sales,Count of sales
170000.0,,2021,2021,dec,December,E08000004,Oldham,all,All,all,All,median,Median price
2347.0,,2020,2020,dec,December,E08000004,Oldham,all,All,all,All,sales,Count of sales
3022.0,,2021,2021,dec,December,E08000004,Oldham,all,All,all,All,sales,Count of sales
2992.0,,2017,2017,dec,December,E08000004,Oldham,all,All,all,All,sales,Count of sales
2941.0,,2019,2019,dec,December,E08000004,Oldham,all,All,all,All,sales,Count of sales
150000.0,,2020,2020,dec,December,E08000004,Oldham,all,All,all,All,median,Median price
137000.0,,2019,2019,dec,December,E08000004,Oldham,all,All,all,All,median,Median price
127500.0,,2017,2017,dec,December,E08000004,Oldham,all,All,all,All,median,Median price
130000.0,,2018,2018,dec,December,E08000004,Oldham,all,All,all,All,median,Median price
109000.0,,2020,2020,dec,December,E08000004,Oldham,all,All,all,All,lower-quartile,Lower quartile price
158900.87725,,2019,2019,dec,December,E08000004,Oldham,all,All,all,All,mean,Mean price
90000.0,,2017,2017,dec,December,E08000004,Oldham,all,All,all,All,lower-quartile,Lower quartile price
148710.79545,,2017,2017,dec,December,E08000004,Oldham,all,All,all,All,mean,Mean price
151876.50699,,2018,2018,dec,December,E08000004,Oldham,all,All,all,All,mean,Mean price
175955.14103,,2020,2020,dec,December,E08000004,Oldham,all,All,all,All,mean,Mean price
197201.0953,,2021,2021,dec,December,E08000004,Oldham,all,All,all,All,mean,Mean price
128000.0,,2021,2021,dec,December,E08000004,Oldham,all,All,all,All,lower-quartile,Lower quartile price
68500.0,,2017,2017,dec,December,E08000004,Oldham,all,All,all,All,tenth-percentile,Tenth percentile price
93000.0,,2018,2018,dec,December,E08000004,Oldham,all,All,all,All,lower-quartile,Lower quartile price
